variety,defect_type,length_mm,width_mm,aspect_ratio,area_mm2,circularity,solidity,eccentricity,rg_ratio,rb_ratio,gb_ratio,norm_s,quality_grade
swarna,whole,4.674,2.172,2.152,7.974,0.7648,0.9962,0.5374,1.066,1.2613,1.2748,0.163,Common
swarna,whole,4.336,2.309,1.878,7.861,0.6537,0.8967,0.4704,1.0945,1.1269,1.0765,0.1231,Grade A
swarna,whole,4.182,1.918,2.181,6.299,0.8466,0.9087,0.5436,1.0841,1.166,1.1473,0.1433,Grade A
swarna,whole,4.29,2.142,2.003,7.216,0.6398,1.0,0.5032,1.0792,1.1954,1.2294,0.1034,Grade A
swarna,chalky,4.035,2.239,1.802,7.097,0.7738,0.9286,0.4481,1.0731,1.2559,1.0913,0.1184,Common
swarna,chalky,4.62,1.847,2.501,6.704,0.7324,0.9007,0.6017,1.0394,1.3289,1.2419,0.1679,Common
swarna,broken,4.206,2.138,1.967,7.064,0.7331,0.9688,0.4942,1.0512,1.2651,1.1136,0.1041,Common
swarna,whole,4.475,2.401,1.864,8.437,0.7362,0.8877,0.4664,1.1017,1.403,1.1779,0.1869,Grade A
swarna,whole,4.53,2.14,2.117,7.615,0.7092,0.8206,0.5298,1.0668,1.3086,1.2687,0.1245,Grade A
swarna,chalky,4.217,2.1,2.008,6.954,0.7915,0.9364,0.5046,1.0482,1.3211,1.1858,0.1691,Rejected
swarna,whole,4.254,2.134,1.993,7.132,0.6608,0.8468,0.5008,1.0978,1.3009,1.1803,0.133,Grade A
swarna,foreign,4.38,2.04,2.148,7.016,0.6839,0.9402,0.5365,1.1932,1.294,1.1955,0.1378,Common
swarna,foreign,3.828,2.195,1.744,6.599,0.706,1.0,0.43,1.0685,1.3041,1.1779,0.1049,Common
swarna,whole,4.9,2.35,2.085,9.045,0.7791,0.8745,0.5226,1.1642,1.1679,1.2152,0.2057,Grade B
swarna,broken,4.153,2.087,1.99,6.807,0.71,0.8948,0.5001,0.987,1.2855,1.1163,0.1542,Common
