,length_mm,width_mm,aspect_ratio,area_mm2,circularity,solidity,eccentricity,rg_ratio,rb_ratio,gb_ratio,norm_s
length_mm,1.0,-0.5677543037025615,0.9074035343249883,0.646439018244247,0.0118754937940475,0.011824267145832967,0.9074010924091542,0.21221942023535165,0.18932907685690795,0.1787164097001651,0.22857297881699845
width_mm,-0.5677543037025615,1.0,-0.8531487781884104,0.21724549619570932,-0.02637640216448005,-0.05292768699000906,-0.8531472892041067,-0.12300328102772848,-0.1556413651388575,-0.12759893260553024,-0.13757051560168732
aspect_ratio,0.9074035343249883,-0.8531487781884104,1.0,0.28600032831588745,0.023301461466303144,0.032323701179929436,0.9999994080956903,0.19401195578236438,0.19568004086059396,0.17577274622329442,0.21131085634331848
area_mm2,0.646439018244247,0.21724549619570932,0.28600032831588745,1.0,-0.0252790229259454,-0.03445207620341837,0.2859864717122968,0.14308892503755652,0.07383519909970084,0.0880881003411509,0.14321210280065474
circularity,0.0118754937940475,-0.02637640216448005,0.023301461466303144,-0.0252790229259454,1.0,-0.008355562215974624,0.02330703095936875,-0.055426685450065676,-0.027058522691761292,0.002532475876465289,0.013797876783590802
solidity,0.011824267145832967,-0.05292768699000906,0.032323701179929436,-0.03445207620341837,-0.008355562215974624,1.0,0.032287659717393065,-0.009753964738317633,0.03345273006277314,-0.028107514121653056,-0.004956833747501135
eccentricity,0.9074010924091542,-0.8531472892041067,0.9999994080956903,0.2859864717122968,0.02330703095936875,0.032287659717393065,1.0,0.19401667900207212,0.19561832783104469,0.17577290768018197,0.21131742753834845
rg_ratio,0.21221942023535165,-0.12300328102772848,0.19401195578236438,0.14308892503755652,-0.055426685450065676,-0.009753964738317633,0.19401667900207212,1.0,0.07117948792220226,0.006987200138637516,0.13347612170431614
rb_ratio,0.18932907685690795,-0.1556413651388575,0.19568004086059396,0.07383519909970084,-0.027058522691761292,0.03345273006277314,0.19561832783104469,0.07117948792220226,1.0,0.0798192488085987,0.09638163301829965
gb_ratio,0.1787164097001651,-0.12759893260553024,0.17577274622329442,0.0880881003411509,0.002532475876465289,-0.028107514121653056,0.17577290768018197,0.006987200138637516,0.0798192488085987,1.0,0.05693492001399235
norm_s,0.22857297881699845,-0.13757051560168732,0.21131085634331848,0.14321210280065474,0.013797876783590802,-0.004956833747501135,0.21131742753834845,0.13347612170431614,0.09638163301829965,0.05693492001399235,1.0
